YEAR,Total
2001,10
2002,14
2003,10
2004,42
2005,65
2006,76
2007,74
2008,126
2009,89
2010,88
2011,118
2012,95
2013,76
2014,47
2015,210
2016,146
2017,93
2018,84
2019,60
2020,71
