YEAR,Total
2001,368
2002,1262
2003,2257
2004,2390
2005,2401
2006,2292
2007,2962
2008,3553
2009,3853
2010,4254
2011,5486
2012,5315
2013,4428
2014,4142
2015,4588
2016,5715
2017,5379
2018,4329
2019,3989
2020,2748
