Program,State,CD,Facilities,Percent
CAA,KY,,8,1.171303074670571
CWA,KY,,2073,25.237399561723883
RCRA,KY,,74,3.7055583375062593
CAA,KY,5,1,1.5873015873015872
CWA,KY,5,834,36.96808510638298
RCRA,KY,5,8,3.3333333333333335
