Program,State,CD,Facilities,Percent
CAA,WA,,18,2.5495750708215295
CWA,WA,,2959,72.20595412396291
RCRA,WA,,153,4.02313962661057
CAA,WA,9,1,1.1494252873563218
CWA,WA,9,320,74.76635514018692
RCRA,WA,9,25,4.664179104477612
