Date,Amount,Count
2001,25200.0,5
2002,9700.0,6
2003,58440.0,2
2004,6300.0,6
2005,15500.0,5
2006,57000.0,8
2007,69600.0,10
2008,51300.0,6
2009,64600.0,5
2010,4145312.0,24
2011,328250.0,22
2012,477778.0,18
2013,128500.0,14
2014,231400.0,20
2015,79250.0,7
2016,75200.0,4
2017,446500.0,9
2018,324700.0,10
2019,417175.01,9
2020,0.0,2
