Year,Violations
2001,78
2002,267
2003,610
2004,635
2005,934
2006,984
2007,885
2008,917
2009,900
2010,1079
2011,1130
2012,1096
2013,980
2014,908
2015,892
2016,535
2017,524
2018,562
2019,563
2020,435
