Year,Violations
2001,34
2002,6
2003,8
2004,10
2005,3
2006,2
2007,0
2008,3
2009,24
2010,31
2011,1
2012,6
2013,2
2014,10
2015,26
2016,58
2017,128
2018,572
2019,1135
2020,1284
