Date,Amount,Count
2001,11016.0,7
2002,44500.0,20
2003,95136.0,34
2004,85500.0,30
2005,64000.0,16
2006,630.0,105
2007,55246.0,43
2008,33692.0,21
2009,65654.0,12
2010,10040.0,6
2011,18875.0,5
2012,6729520362.0,11
2013,94563.0,15
2014,64326.0,7
2015,39035499.0,11
2016,57525.0,8
2017,382027.0,8
2018,7750.0,6
2019,682228.0,14
2020,58387.0,13
