YEAR,Total
2001,275
2002,321
2003,291
2004,438
2005,203
2006,147
2007,158
2008,192
2009,188
2010,174
2011,273
2012,185
2013,204
2014,290
2015,241
2016,139
2017,671
2018,1299
2019,1494
2020,1356
2021,2
