YEAR,Total
2001,490
2002,538
2003,603
2004,789
2005,1023
2006,1210
2007,3190
2008,5150
2009,4094
2010,5668
2011,5622
2012,5805
2013,7505
2014,8849
2015,8012
2016,8388
2017,10448
2018,13247
2019,12237
2020,11290
2021,11
