YEAR,Total
2001,408
2002,450
2003,573
2004,842
2005,1475
2006,2245
2007,2670
2008,3051
2009,2826
2010,2656
2011,2757
2012,2374
2013,2328
2014,2725
2015,2740
2016,2465
2017,2320
2018,2481
2019,2845
2020,2512
2021,20
