YEAR,Total
2001,0
2002,0
2003,0
2004,1
2005,2
2006,0
2007,0
2008,26
2009,22
2010,36
2011,31
2012,15
2013,3
2014,21
2015,23
2016,13
2017,8
2018,0
2019,0
2020,0
