YEAR,Total
2001,14
2002,48
2003,26
2004,36
2005,70
2006,75
2007,550
2008,523
2009,417
2010,444
2011,378
2012,260
2013,238
2014,216
2015,194
2016,193
2017,198
2018,190
2019,372
2020,331
