YEAR,Total
2001,4837
2002,5502
2003,7620
2004,9767
2005,9127
2006,9798
2007,10328
2008,10390
2009,11935
2010,11382
2011,10711
2012,10960
2013,11066
2014,12701
2015,15773
2016,17798
2017,23181
2018,27657
2019,28186
2020,21333
2021,81
