YEAR,Total
2001,53
2002,68
2003,100
2004,69
2005,81
2006,79
2007,84
2008,78
2009,94
2010,148
2011,111
2012,113
2013,89
2014,111
2015,81
2016,100
2017,103
2018,134
2019,139
2020,118
2021,1
