YEAR,Total
2001,14
2002,8
2003,2
2004,22
2005,3
2006,4
2007,22
2008,12
2009,10
2010,16
2011,15
2012,30
2013,38
2014,37
2015,25
2016,37
2017,63
2018,66
2019,49
2020,78
