Year,Violations
2001,271
2002,313
2003,583
2004,1040
2005,1237
2006,1508
2007,1625
2008,1643
2009,1283
2010,1089
2011,973
2012,958
2013,1126
2014,1235
2015,1037
2016,1059
2017,1012
2018,706
2019,836
2020,723
2021,1
