Year,Violations
2001,200
2002,186
2003,202
2004,277
2005,416
2006,645
2007,569
2008,511
2009,415
2010,322
2011,406
2012,398
2013,400
2014,514
2015,735
2016,732
2017,779
2018,896
2019,898
2020,535
