Date,Amount,Count
2001,33859.0,12
2002,67896.0,10
2003,41851.0,8
2004,45064.0,9
2005,30318.0,6
2006,184451.0,9
2007,119948.0,6
2008,46184.0,9
2009,194722.0,5
2010,299704.0,7
2011,11383.0,4
2012,150900.0,11
2013,58013.0,8
2014,52824.83,7
2015,48249.14,9
2016,2100.0,1
2017,25422.0,6
2018,75295.55,4
2019,44975.04,7
2020,44386.97,5
