YEAR,Total
2001,130
2002,66
2003,72
2004,63
2005,134
2006,83
2007,82
2008,77
2009,79
2010,53
2011,184
2012,152
2013,169
2014,127
2015,86
2016,78
2017,222
2018,832
2019,1368
2020,1278
