YEAR,Total
2001,170
2002,253
2003,262
2004,292
2005,333
2006,313
2007,264
2008,266
2009,259
2010,274
2011,246
2012,166
2013,171
2014,206
2015,177
2016,187
2017,169
2018,216
2019,267
2020,215
