Program,State,CD,Facilities,Percent
CAA,NJ,,16,0.26468155500413565
CWA,NJ,,2206,20.388170055452864
RCRA,NJ,,276,2.3695054945054945
CAA,NJ,4,0,0.0
CWA,NJ,4,157,18.405627198124268
RCRA,NJ,4,14,1.9283746556473829
