Year,Violations
2001,854
2002,809
2003,748
2004,508
2005,546
2006,520
2007,502
2008,559
2009,487
2010,347
2011,441
2012,287
2013,438
2014,554
2015,493
2016,360
2017,301
2018,443
2019,663
2020,751
