YEAR,Total
2001,1050
2002,1010
2003,909
2004,692
2005,772
2006,697
2007,679
2008,602
2009,588
2010,582
2011,541
2012,493
2013,513
2014,647
2015,586
2016,430
2017,455
2018,621
2019,693
2020,726
