Program,State,CD,Facilities,Percent
CAA,FL,,81,2.038248616004026
CWA,FL,,508,2.3938551434899393
RCRA,FL,,192,0.6816729390044735
CAA,FL,21,0,0.0
CWA,FL,21,3,0.7712082262210797
RCRA,FL,21,1,0.1893939393939394
