Program,State,CD,Facilities,Percent
CAA,MS,,15,1.342882721575649
CWA,MS,,798,18.190107134716207
RCRA,MS,,30,0.9874917709019092
CAA,MS,2,4,1.532567049808429
CWA,MS,2,281,29.957356076759062
RCRA,MS,2,7,1.3011152416356877
