Year,Violations
2001,146
2002,164
2003,324
2004,378
2005,320
2006,407
2007,615
2008,427
2009,654
2010,725
2011,746
2012,695
2013,517
2014,739
2015,861
2016,902
2017,721
2018,728
2019,790
2020,586
