,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26763,ECOWATER INDUSTRIES,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110017285132,29.92375,-93.88759
27390,VLS GAS FREE SERVICES PORT ARTHUR,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045565697,29.9697,-93.85958
48861,GULF COPPER AND MANUFACTURING CORPORATION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005158550,29.892090000000003,-93.9351
10258,SHINTECH INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000743839,28.994467,-95.356329
36556,TEXAS BARGE AND AMP; BOAT FREEPORT FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110020774740,28.901664,-95.383094
56302,GULF CHEM & MET DIV OF ASSOC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000619590,28.95587,-95.33697
74372,ISP SYNTHETIC ELASTOMERS LP,12,,http://echo.epa.gov/detailed-facility-report?fid=110020515735,29.987664,-93.944972
93579,ASCEND PERFORMANCE MATERIALS - CHOCOLATE BAYOU PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000503722,29.231225,-95.196088
101104,MALLINCKRODT DIAGNOSTICS DIVISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001869577,29.150261,-95.4302
598,MOTIVA - PORT ARTHUR REFINERY,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000464024,29.883333,-93.958333
79680,UNION CARBIDE CORP TEXAS CITY PLANT,6,,http://echo.epa.gov/detailed-facility-report?fid=110000505524,29.3742,-94.9455
11373,DIAGNOSTIC PATHOLOGY ASSOCIATES,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070604837,30.07195,-94.12801
12094,GULF COPPER AND MFG CORP - CENTRAL YARD,5,,http://echo.epa.gov/detailed-facility-report?fid=110043583627,29.920942,-93.888951
87702,BASF CORP - FREEPORT SITE,5,,http://echo.epa.gov/detailed-facility-report?fid=110000463392,29.002075,-95.399777
110404,VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110035783658,29.853056,-94.095278
77331,CLEAN HARBORS SAN LEON,4,,http://echo.epa.gov/detailed-facility-report?fid=110000495214,29.468788,-94.965569
99329,INTERNATIONAL GALVANIZERS,4,,http://echo.epa.gov/detailed-facility-report?fid=110064118468,29.994196,-94.197701
102319,GALVESTON BAY REFINERY,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110059763536,29.374444,-94.925
35886,INEOS CALABRIAN,3,,http://echo.epa.gov/detailed-facility-report?fid=110000746499,29.98877,-93.97538
105008,PREMCOR REFINING GROUP INC - PORT ARTHUR REFINERY,3,,http://echo.epa.gov/detailed-facility-report?fid=110000464006,29.868333000000003,-93.968333
