YEAR,Total
2001,21
2002,54
2003,106
2004,168
2005,135
2006,106
2007,41
2008,32
2009,40
2010,105
2011,79
2012,75
2013,73
2014,36
2015,88
2016,146
2017,122
2018,62
2019,111
2020,84
