Year,Violations
2001,22
2002,13
2003,5
2004,100
2005,158
2006,103
2007,97
2008,68
2009,58
2010,40
2011,48
2012,53
2013,31
2014,25
2015,8
2016,6
2017,102
2018,444
2019,694
2020,633
