YEAR,Total
2001,1060
2002,1207
2003,1340
2004,1450
2005,1675
2006,2109
2007,2005
2008,2627
2009,3767
2010,4631
2011,5675
2012,6729
2013,7224
2014,7259
2015,7059
2016,6628
2017,6995
2018,7593
2019,8525
2020,6783
2021,5
