Date,Sum_District,Sum_State
2010,763916.6152570001,61627927.519738
2011,666283.7644,60165556.12493498
2012,693524.074825,58061351.26607399
2013,780569.428,54182359.783999994
2014,783717.186,57363455.413999975
2015,745835.7780000002,52659941.762999974
2016,835888.57,54506141.522999994
2017,812032.6259999999,51446226.72299997
2018,946759.328,45909645.78899998
