YEAR,Total
2001,96
2002,245
2003,433
2004,565
2005,781
2006,808
2007,612
2008,651
2009,579
2010,481
2011,454
2012,545
2013,593
2014,565
2015,482
2016,394
2017,301
2018,380
2019,461
2020,345
