Date,Count
2001,488
2002,481
2003,522
2004,432
2005,289
2006,198
2007,272
2008,183
2009,139
2010,127
2011,165
2012,136
2013,144
2014,140
2015,126
2016,112
2017,127
2018,115
2019,132
2020,15
