YEAR,Total
2001,240
2002,308
2003,430
2004,572
2005,673
2006,677
2007,710
2008,1389
2009,1591
2010,1601
2011,1260
2012,1208
2013,1278
2014,1253
2015,1174
2016,1182
2017,1221
2018,1187
2019,1220
2020,963
2021,8
