Date,Count
2001,1
2002,6
2003,1
2004,8
2005,11
2006,4
2007,9
2008,42
2009,18
2010,27
2011,21
2012,11
2013,3
2014,1
2015,1
2016,3
2017,24
2018,18
2019,17
2020,4
