Date,Count
2001,78
2002,166
2003,182
2004,206
2005,262
2006,245
2007,230
2008,193
2009,253
2010,216
2011,183
2012,180
2013,189
2014,295
2015,202
2016,173
2017,193
2018,195
2019,219
2020,46
