Date,Sum_District,Sum_State
2010,24653403.057449993,48481876.121127
2011,25815821.38400001,55159495.780449
2012,26891218.623199996,55469342.947574005
2013,29170882.242000002,54733627.854000024
2014,28249114.689999998,54041743.647999994
2015,24590529.43599999,44079607.628
2016,25089393.56,45046367.981999986
2017,27990733.449999996,47692076.21199999
2018,28840493.560999997,53844264.54299999
