Date,Count
2001,54
2002,34
2003,46
2004,38
2005,43
2006,35
2007,66
2008,50
2009,69
2010,85
2011,68
2012,110
2013,63
2014,93
2015,184
2016,120
2017,76
2018,41
2019,93
2020,37
