YEAR,Total
2001,7
2002,12
2003,6
2004,1
2005,15
2006,9
2007,14
2008,16
2009,19
2010,22
2011,19
2012,20
2013,106
2014,109
2015,176
2016,114
2017,85
2018,109
2019,128
2020,103
