Year,Violations
2001,140
2002,113
2003,160
2004,147
2005,143
2006,222
2007,147
2008,132
2009,119
2010,80
2011,71
2012,75
2013,94
2014,104
2015,80
2016,185
2017,98
2018,161
2019,243
2020,213
