Date,Amount,Count
2001,139610.0,8
2002,42029.0,10
2003,92680.0,16
2004,60986.0,5
2005,68790.67,16
2006,185026.67,7
2007,219584.0,21
2008,125932.0,16
2009,105257.0,12
2010,129802.18,19
2011,716657.0,18
2012,524855.0,8
2013,34787.509999999995,10
2014,1645200.0,25
2015,157000.0,15
2016,69584.5,28
2017,95734.0,17
2018,142868.0,17
2019,936133.0,14
2020,85000.0,2
