Date,Count
2001,9
2002,35
2003,71
2004,63
2005,93
2006,71
2007,67
2008,73
2009,84
2010,57
2011,63
2012,61
2013,74
2014,308
2015,78
2016,74
2017,95
2018,146
2019,117
2020,30
