Date,Sum_District,Sum_State
2010,7440752.5211999975,20057971.058570005
2011,6324628.904999999,18106771.87125
2012,6081203.286936,18372948.780935995
2013,7213453.026000001,19302796.152
2014,7526901.153999999,19847594.772
2015,5709097.1620000005,18284532.953999996
2016,5354596.908000002,17599124.141999997
2017,5066653.311999999,16353754.762
2018,6278014.440000001,17168467.108
