Year,Violations
2001,2713
2002,2785
2003,3589
2004,4385
2005,5744
2006,6042
2007,6614
2008,7389
2009,8147
2010,7790
2011,12745
2012,15166
2013,15058
2014,13012
2015,6132
2016,5630
2017,6126
2018,6601
2019,7977
2020,6438
2021,34
