YEAR,Total
2001,220
2002,271
2003,333
2004,374
2005,382
2006,445
2007,466
2008,461
2009,513
2010,543
2011,525
2012,635
2013,443
2014,288
2015,237
2016,220
2017,179
2018,141
2019,160
2020,124
