Date,Count
2001,131
2002,159
2003,213
2004,254
2005,293
2006,298
2007,310
2008,218
2009,279
2010,254
2011,234
2012,186
2013,206
2014,177
2015,198
2016,181
2017,199
2018,196
2019,179
2020,80
