Year,Violations
2001,6
2002,36
2003,63
2004,49
2005,58
2006,68
2007,90
2008,138
2009,114
2010,160
2011,174
2012,113
2013,110
2014,137
2015,123
2016,179
2017,228
2018,223
2019,235
2020,322
