YEAR,Total
2001,1207
2002,1117
2003,1284
2004,1286
2005,1475
2006,1574
2007,1904
2008,2324
2009,2467
2010,2588
2011,2715
2012,2814
2013,3239
2014,3289
2015,3661
2016,4018
2017,4558
2018,4829
2019,5034
2020,3805
