YEAR,Total
2001,6
2002,13
2003,10
2004,8
2005,25
2006,17
2007,16
2008,27
2009,24
2010,14
2011,33
2012,12
2013,14
2014,14
2015,13
2016,27
2017,19
2018,30
2019,29
2020,17
