Year,Violations
2001,97
2002,93
2003,79
2004,63
2005,41
2006,46
2007,44
2008,54
2009,68
2010,55
2011,83
2012,63
2013,66
2014,78
2015,81
2016,81
2017,29
2018,36
2019,35
2020,38
