YEAR,Total
2001,13
2002,26
2003,36
2004,50
2005,64
2006,61
2007,172
2008,168
2009,414
2010,143
2011,302
2012,65
2013,160
2014,67
2015,209
2016,128
2017,130
2018,75
2019,98
2020,71
