YEAR,Total
2001,117
2002,171
2003,154
2004,161
2005,89
2006,59
2007,61
2008,71
2009,144
2010,178
2011,179
2012,181
2013,466
2014,591
2015,551
2016,545
2017,872
2018,756
2019,997
2020,645
