YEAR,Total
2001,555
2002,1007
2003,1017
2004,1081
2005,1541
2006,2351
2007,2237
2008,2898
2009,2594
2010,2897
2011,3346
2012,2867
2013,2625
2014,2793
2015,3162
2016,3178
2017,2795
2018,2525
2019,2347
2020,1927
