YEAR,Total
2001,85
2002,156
2003,488
2004,569
2005,818
2006,1032
2007,999
2008,1059
2009,1085
2010,1110
2011,1187
2012,1196
2013,832
2014,567
2015,881
2016,579
2017,592
2018,523
2019,806
2020,541
2021,2
