YEAR,Total
2001,123
2002,116
2003,85
2004,159
2005,280
2006,399
2007,569
2008,584
2009,619
2010,575
2011,551
2012,435
2013,404
2014,506
2015,436
2016,416
2017,484
2018,522
2019,706
2020,465
