Date,Count
2001,210
2002,187
2003,219
2004,207
2005,223
2006,261
2007,256
2008,210
2009,267
2010,142
2011,154
2012,219
2013,163
2014,145
2015,127
2016,98
2017,85
2018,110
2019,97
2020,65
