Date,Count
2001,125
2002,118
2003,86
2004,87
2005,98
2006,38
2007,112
2008,128
2009,143
2010,115
2011,66
2012,111
2013,132
2014,55
2015,163
2016,181
2017,149
2018,69
2019,101
2020,36
