YEAR,Total
2001,0
2002,0
2003,1
2004,19
2005,34
2006,46
2007,27
2008,18
2009,38
2010,151
2011,309
2012,291
2013,382
2014,485
2015,907
2016,1214
2017,1357
2018,1623
2019,2244
2020,2122
