YEAR,Total
2001,44
2002,27
2003,65
2004,16
2005,22
2006,6
2007,34
2008,46
2009,14
2010,64
2011,44
2012,16
2013,13
2014,12
2015,28
2016,38
2017,73
2018,389
2019,378
2020,484
