YEAR,Total
2001,141
2002,160
2003,106
2004,104
2005,92
2006,58
2007,65
2008,79
2009,75
2010,50
2011,55
2012,61
2013,51
2014,47
2015,25
2016,51
2017,71
2018,62
2019,55
2020,31
