Date,Sum_District,Sum_State
2010,10021371.563751005,12598411.095751002
2011,10276129.584227001,12669529.868027005
2012,9869144.961426,12221300.551625999
2013,9426750.814,11877028.984800002
2014,8919021.736000001,11100037.288373
2015,7135831.184999999,9364409.442391
2016,6613217.636000002,8612731.503863001
2017,6192172.636999998,7920396.882105
2018,6322571.099,8112346.220086999
