YEAR,Total
2001,153
2002,132
2003,286
2004,448
2005,652
2006,801
2007,857
2008,867
2009,723
2010,555
2011,487
2012,536
2013,688
2014,758
2015,680
2016,698
2017,560
2018,421
2019,497
2020,412
