Year,Violations
2001,302
2002,588
2003,780
2004,970
2005,1069
2006,1232
2007,1183
2008,1452
2009,1505
2010,1527
2011,1278
2012,1047
2013,1497
2014,1682
2015,1880
2016,1888
2017,2145
2018,2260
2019,1926
2020,1615
2021,1
